RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2016-06-30
2285,850,Franklin County,County,NC,NC,Raleigh,37,69,156980
1397,851,Stanly County,County,NC,NC,Albemarle,37,167,126618
2303,852,Garfield County,County,OK,OK,Enid,40,47,80019
1795,853,Jackson County,County,GA,GA,Jefferson,13,157,178910
1279,854,Oldham County,County,KY,KY,Louisville/Jefferson County,21,185,279047
1797,855,Jackson County,County,IL,IL,Carbondale-Marion,17,77,123858
2928,856,Georgetown County,County,SC,SC,Georgetown,45,43,228981
1539,857,Belknap County,County,NH,NH,Laconia,33,1,218747
1722,858,Genesee County,County,NY,NY,Batavia,36,37,109316
2708,859,Granville County,County,NC,NC,Oxford,37,77,151627
1890,860,Lowndes County,County,MS,MS,Columbus,28,87,106944
2070,861,Warrick County,County,IN,IN,Evansville,18,173,159002
565,862,Huron County,County,OH,OH,Norwalk,39,77,96420
3076,863,Washington County,County,VT,VT,Barre,50,23,183786
1147,864,Lenoir County,County,NC,NC,Kinston,37,107,81153
382,865,Barry County,County,MI,MI,Grand Rapids-Wyoming,26,15,151448
333,866,Wise County,County,TX,TX,Dallas-Fort Worth-Arlington,48,497,172561
1769,867,Haywood County,County,NC,NC,Asheville,37,87,170098
125,868,Clay County,County,MN,MN,Fargo,27,27,190387
1144,869,Laurel County,County,KY,KY,London,21,125,94988
3147,870,Walla Walla County,County,WA,WA,Walla Walla,53,71,214177
173,871,Hall County,County,NE,NE,Grand Island,31,79,135119
998,872,Duplin County,County,NC,NC,,37,61,75526
2871,873,Whiteside County,County,IL,IL,Sterling,17,195,99518
2124,874,Anderson County,County,TX,TX,Palestine,48,1,95751
1436,875,Tooele County,County,UT,UT,Salt Lake City,49,45,206991
1265,876,Newton County,County,MO,MO,Joplin,29,145,113011
2219,877,Columbus County,County,NC,NC,,37,47,87387
2866,878,Vermilion Parish,County,LA,LA,Lafayette,22,113,127091
86,879,Lee County,County,NC,NC,Sanford,37,105,123607
1305,880,Oxford County,County,ME,ME,,23,17,147346
923,881,Carter County,County,TN,TN,Johnson City,47,19,109325
280,882,Pike County,County,PA,PA,New York-Newark-Jersey City,42,103,156669
883,883,Blount County,County,AL,AL,Birmingham-Hoover,1,9,124460
2992,884,Otter Tail County,County,MN,MN,Fergus Falls,27,111,198971
1768,885,Hawkins County,County,TN,TN,Kingsport-Bristol-Bristol,47,73,107896
2218,885,Columbia County,County,WI,WI,Madison,55,21,177560
1374,887,Seneca County,County,OH,OH,Tiffin,39,147,91687
2099,888,Windsor County,County,VT,VT,Claremont-Lebanon,50,27,232941
393,889,Boone County,County,IN,IN,Indianapolis-Carmel-Anderson,18,11,222026
2687,890,Edgecombe County,County,NC,NC,Rocky Mount,37,65,53644
1175,891,Marion County,County,WV,WV,Fairmont,54,49,91791
2300,892,Garfield County,County,CO,CO,Glenwood Springs,8,45,336639
2292,893,Franklin County,County,VA,VA,Roanoke,51,67,190185
2915,894,Cumberland County,County,TN,TN,Crossville,47,35,135222
2894,895,Broomfield County,County,CO,CO,Denver-Aurora-Lakewood,8,14,401145
3115,896,Pearl River County,County,MS,MS,Picayune,28,109,129775
2058,897,Tuscola County,County,MI,MI,,26,157,79641
2479,898,Pickaway County,County,OH,OH,Columbus,39,129,149121
589,899,Lamar County,County,MS,MS,Hattiesburg,28,73,162695
1364,900,Saline County,County,KS,KS,Salina,20,169,113219
1024,901,Fulton County,County,NY,NY,Gloversville,36,35,110567
1346,902,Putnam County,County,WV,WV,Huntington-Ashland,54,79,148647
3257,903,Kenai Peninsula Borough,County,AK,AK,,2,122,220179
2584,904,Tuolumne County,County,CA,CA,Sonora,6,109,
2193,905,Cherokee County,County,SC,SC,Gaffney,45,21,69233
3087,906,Carson City,County,NV,NV,Carson City,32,510,243113
3020,907,San Benito County,County,CA,CA,San Jose-Sunnyvale-Santa Clara,6,69,541961
1044,908,Gordon County,County,GA,GA,Calhoun,13,129,118282
1468,909,Walton County,County,FL,FL,Crestview-Fort Walton Beach-Destin,12,131,340385
2060,910,Venango County,County,PA,PA,Oil City,42,121,72256
3075,911,Washington County,County,VA,VA,Kingsport-Bristol-Bristol,51,191,138705
2171,912,Campbell County,County,VA,VA,Lynchburg,51,31,153977
1743,913,Halifax County,County,NC,NC,Roanoke Rapids,37,83,62260
3019,914,Saint Mary Parish,County,LA,LA,Morgan City,22,101,103544
1082,915,Hardin County,County,TX,TX,Beaumont-Port Arthur,48,199,152691
1524,916,Autauga County,County,AL,AL,Montgomery,1,1,149812
1636,917,Colbert County,County,AL,AL,Florence-Muscle Shoals,1,33,99066
1753,918,Hancock County,County,ME,ME,,23,9,206039
2417,919,Maverick County,County,TX,TX,Eagle Pass,48,323,117532
696,920,Roane County,County,TN,TN,Knoxville,47,145,129357
392,921,Boone County,County,IL,IL,Rockford,17,7,141824
561,922,Henry County,County,VA,VA,Martinsville,51,89,86531
1615,923,Chisago County,County,MN,MN,Minneapolis-St. Paul-Bloomington,27,25,213519
453,924,Coles County,County,IL,IL,Charleston-Mattoon,17,29,79666
164,926,Gila County,County,AZ,AZ,Payson,4,7,196751
2757,927,Jefferson County,County,WV,WV,Washington-Arlington-Alexandria,54,37,211209
259,928,Ogle County,County,IL,IL,Rochelle,17,141,123256
312,929,Rusk County,County,TX,TX,Longview,48,401,121072
1791,930,Jackson County,County,AL,AL,Scottsboro,1,71,96587
1519,931,Ashland County,County,OH,OH,Ashland,39,5,118369
467,932,Darke County,County,OH,OH,Greenville,39,37,114216
2005,933,Russell County,County,AL,AL,Columbus,1,113,93890
208,934,Knox County,County,IL,IL,Galesburg,17,95,67839
798,935,Wayne County,County,PA,PA,,42,127,161860
947,936,Coffee County,County,TN,TN,Tullahoma-Manchester,47,31,119616
3222,937,Saint Charles Parish,County,LA,LA,New Orleans-Metairie,22,89,176054
1824,938,Johnson County,County,MO,MO,Warrensburg,29,101,143394
2862,939,Van Zandt County,County,TX,TX,,48,467,136074
1872,940,Lincoln County,County,MO,MO,St. Louis,29,113,159163
527,941,Grady County,County,OK,OK,Oklahoma City,40,51,110626
2074,942,Waupaca County,County,WI,WI,,55,135,119975
1457,943,Vernon Parish,County,LA,LA,Fort Polk South,22,115,135665
773,944,Union County,County,OH,OH,Columbus,39,159,199454
110,945,Cass County,County,MI,MI,South Bend-Mishawaka,26,27,132729
1986,946,Pulaski County,County,MO,MO,Fort Leonard Wood,29,169,146398
1190,947,McMinn County,County,TN,TN,Athens,47,107,113511
2689,948,Effingham County,County,GA,GA,Savannah,13,103,181093
2551,949,Somerset County,County,ME,ME,,23,25,111267
1313,950,Pender County,County,NC,NC,Wilmington,37,141,222216
491,951,Eagle County,County,CO,CO,Edwards,8,37,636459
3188,952,Saint Martin Parish,County,LA,LA,Lafayette,22,99,105864
249,953,Lyon County,County,NV,NV,Fernley,32,19,194522
741,954,Taney County,County,MO,MO,Branson,29,213,127695
2287,955,Franklin County,County,NY,NY,Malone,36,33,92221
1498,956,Winona County,County,MN,MN,Winona,27,169,164165
2880,957,Worcester County,County,MD,MD,Salisbury,24,47,239437
2753,958,Jefferson County,County,TN,TN,Morristown,47,89,133238
2369,959,La Plata County,County,CO,CO,Durango,8,67,388103
543,960,Grant County,County,WI,WI,Platteville,55,43,113836
184,961,Hood County,County,TX,TX,Dallas-Fort Worth-Arlington,48,221,197911
3063,962,Washington County,County,MS,MS,Greenville,28,151,586190
748,963,Tioga County,County,NY,NY,Binghamton,36,107,116665
2073,964,Watauga County,County,NC,NC,Boone,37,189,247490
3068,965,Washington County,County,OK,OK,Bartlesville,40,147,95511
2907,966,Crittenden County,County,AR,AR,Memphis,5,35,93826
2194,967,Cherokee County,County,TX,TX,Jacksonville,48,73,103262
908,968,Camden County,County,GA,GA,St. Marys,13,39,157676
555,969,Henry County,County,IL,IL,Davenport-Moline-Rock Island,17,73,99963
2186,970,Chenango County,County,NY,NY,,36,17,93509
1853,971,LeFlore County,County,OK,OK,Fort Smith,40,79,71915
145,972,Dale County,County,AL,AL,Ozark,1,45,85772
2979,973,Montgomery County,County,NY,NY,Amsterdam,36,57,101698
1068,974,Grundy County,County,IL,IL,Chicago-Naperville-Elgin,17,63,175169
2244,975,Dearborn County,County,IN,IN,Cincinnati,18,29,162161
2637,976,Box Elder County,County,UT,UT,Ogden-Clearfield,49,3,190413
945,977,Coffee County,County,AL,AL,Enterprise,1,31,113455
1559,978,Bristol County,County,RI,RI,Providence-Warwick,44,1,326819
